TITLE,USER RATING,CRITCS RATING,YEAR,RT URL
Original Sin,64,12,2001,http://www.rottentomatoes.com/m/original_sin/
The Mighty Ducks,64,12,1992,http://www.rottentomatoes.com/m/mighty_ducks/
Texas Chainsaw Massacre: The Beginning,64,12,2006,http://www.rottentomatoes.com/m/texas_chainsaw_massacre_the_beginning/
Disco Pigs,72,20,2001,http://www.rottentomatoes.com/m/disco-pigs/
Law Abiding Citizen,77,25,2009,http://www.rottentomatoes.com/m/law_abiding_citizen/
A Walk to Remember,79,27,2002,http://www.rottentomatoes.com/m/walk_to_remember/
The Ultimate Gift,84,32,2007,http://www.rottentomatoes.com/m/ultimate_gift/
Poolhall Junkies,86,34,2002,http://www.rottentomatoes.com/m/poolhall_junkies/
Are We There Yet?,62,11,2003,http://www.rottentomatoes.com/m/1141102-are_we_there_yet/
Saw V,63,12,2008,http://www.rottentomatoes.com/m/saw_v/
Illegal Tender,67,16,2007,http://www.rottentomatoes.com/m/illegal_tender/
I Got The Hook-Up,68,17,1998,http://www.rottentomatoes.com/m/i_got_the_hookup/
A Dog of Flanders,72,21,1999,http://www.rottentomatoes.com/m/1094164-dog_of_flanders/
Coyote Ugly,73,22,2000,http://www.rottentomatoes.com/m/coyote_ugly/
Friday After Next,76,25,2002,http://www.rottentomatoes.com/m/friday_after_next/
Dot the I,76,25,2003,http://www.rottentomatoes.com/m/dot_the_i/
How High,78,27,2001,http://www.rottentomatoes.com/m/how_high/
The Twilight Saga: New Moon,78,27,2009,http://www.rottentomatoes.com/m/twilight_saga_new_moon/
Saw III,79,28,2006,http://www.rottentomatoes.com/m/saw_3/
Poetic Justice,82,31,1993,http://www.rottentomatoes.com/m/poetic_justice/
Underworld,82,31,2003,http://www.rottentomatoes.com/m/underworld/
The Visual Bible: The Gospel of John,87,36,2003,http://www.rottentomatoes.com/m/gospel_of_john/
Man on Fire,89,38,2004,http://www.rottentomatoes.com/m/man_on_fire/
Vibes,56,6,1988,http://www.rottentomatoes.com/m/vibes/
Man of the House,58,8,2005,http://www.rottentomatoes.com/m/man_of_the_house/
Grown Ups,59,9,2010,http://www.rottentomatoes.com/m/grown_ups/
Stay Alive,59,9,2006,http://www.rottentomatoes.com/m/10006370-stay_alive/
Taxi,60,10,2004,http://www.rottentomatoes.com/m/taxi/
Black Dog,61,11,1998,http://www.rottentomatoes.com/m/black_dog/
Surf Ninjas,62,12,1993,http://www.rottentomatoes.com/m/surf_ninjas/
Uptown Girls,64,14,2003,http://www.rottentomatoes.com/m/uptown_girls/
Neverwas,64,14,2005,http://www.rottentomatoes.com/m/10005819-10005819-neverwas/
House of 1000 Corpses,67,17,2002,http://www.rottentomatoes.com/m/house_of_1000_corpses/
Class Act,67,17,1992,http://www.rottentomatoes.com/m/1039511-class_act/
Rush Hour 3,68,18,2007,http://www.rottentomatoes.com/m/rush_hour_3/
The Pacifier,70,20,2005,http://www.rottentomatoes.com/m/pacifier/
Sugar Hill,70,20,1994,http://www.rottentomatoes.com/m/1048585-sugar_hill/
Seven Pounds,77,27,2008,http://www.rottentomatoes.com/m/seven_pounds/
The Players Club,81,31,1998,http://www.rottentomatoes.com/m/players_club/
My Heroes Have Always Been Cowboys,83,33,1991,http://www.rottentomatoes.com/m/my_heroes_have_always_been_cowboys/
Remember the Daze (The Beautiful Ordinary),49,0,2007,http://www.rottentomatoes.com/m/1194262-remember_the_daze/
The New Guy,57,8,2002,http://www.rottentomatoes.com/m/1112617-new_guy/
The Air I Breathe,61,12,2007,http://www.rottentomatoes.com/m/the_air_i_breahe/
Unconditional Love,63,14,2003,http://www.rottentomatoes.com/m/1124362-unconditional_love/
The Ten Commandments,63,14,2007,http://www.rottentomatoes.com/m/epic_stories_of_the_bible_the_ten_commandments/
The Marine,69,20,2006,http://www.rottentomatoes.com/m/marine/
Resident Evil - Apocalypse,70,21,2004,http://www.rottentomatoes.com/m/resident_evil_apocalypse/
Dirty Dancing - Havana Nights,71,22,2004,http://www.rottentomatoes.com/m/havana_nights/
Enough,71,22,2002,http://www.rottentomatoes.com/m/1114051-enough/
Sprung,71,22,1997,http://www.rottentomatoes.com/m/sprung/
Fast & Furious,76,27,2009,http://www.rottentomatoes.com/m/fast_and_furious/
Dont Be a Menace to South Central While Drinking Your Juice in The Hood,78,29,1996,http://www.rottentomatoes.com/m/dont_be_a_menace/
Austenland,89,40,2013,http://www.rottentomatoes.com/m/austenland_2013/
A Thousand Words,48,0,2012,http://www.rottentomatoes.com/m/a-thousand-words/
The Crow - Wicked Prayer,48,0,2005,http://www.rottentomatoes.com/m/crow_wicked_prayer/
Dangerously Close,48,0,1986,http://www.rottentomatoes.com/m/dangerously_close/
License to Wed,55,7,2007,http://www.rottentomatoes.com/m/1175072-license_to_wed/
Woo,55,7,1998,http://www.rottentomatoes.com/m/woo/
Head Over Heels,58,10,2001,http://www.rottentomatoes.com/m/1104725-head_over_heels/
Joan of Arc,59,11,1999,http://www.rottentomatoes.com/m/1088045-joan_of_arc/
Ordinary Decent Criminal,62,14,1999,http://www.rottentomatoes.com/m/ordinary-decent-criminal/
Left Behind - The Movie,64,16,2000,http://www.rottentomatoes.com/m/left_behind/
Pokemon Heroes,64,16,2003,http://www.rottentomatoes.com/m/pokemon-heroes/
Stealing Home,70,22,1988,http://www.rottentomatoes.com/m/stealing_home/
Hope Floats,72,24,1998,http://www.rottentomatoes.com/m/hope_floats/
Act of Valor,73,25,2012,http://www.rottentomatoes.com/m/act_of_valor/
Pearl Harbor,73,25,2001,http://www.rottentomatoes.com/m/1108389-pearl_harbor/
Letters To God,73,25,2009,http://www.rottentomatoes.com/m/letters_to_god/
John Tucker Must Die,74,26,2006,http://www.rottentomatoes.com/m/john_tucker_must_die/
Wet Hot American Summer,79,31,2001,http://www.rottentomatoes.com/m/wet_hot_american_summer/
The Butterfly Effect,81,33,2004,http://www.rottentomatoes.com/m/butterfly_effect/
Thursday,81,33,1998,http://www.rottentomatoes.com/m/thursday/
Sordid Lives,85,37,2000,http://www.rottentomatoes.com/m/sordid_lives/
Madhouse,47,0,1990,http://www.rottentomatoes.com/m/1013009-madhouse/
The Neverending Story II: The Next Chapter,47,0,1990,http://www.rottentomatoes.com/m/the_neverending_story_ii_the_next_chapter_1990/
Half Past Dead,49,2,2002,http://www.rottentomatoes.com/m/half_past_dead/
Down to You,50,3,2000,http://www.rottentomatoes.com/m/down_to_you/
Deuces Wild,50,3,2002,http://www.rottentomatoes.com/m/deuces_wild/
A Little Bit Of Heaven,51,4,2012,http://www.rottentomatoes.com/m/a_little_bit_of_heaven_2011/
Mobsters,51,4,1991,http://www.rottentomatoes.com/m/mobsters/
Premonition,55,8,2007,http://www.rottentomatoes.com/m/premonition/
Norbit,56,9,2007,http://www.rottentomatoes.com/m/norbit/
I Dreamed of Africa,56,9,2000,http://www.rottentomatoes.com/m/i_dreamed_of_africa/
The Grudge 2,57,10,2006,http://www.rottentomatoes.com/m/grudge_2/
Pure Luck,57,10,1991,http://www.rottentomatoes.com/m/pure_luck/
Garfield: A Tail of Two Kitties,58,11,2006,http://www.rottentomatoes.com/m/garfield_2/
Magic in the Water,58,11,1995,http://www.rottentomatoes.com/m/magic_in_the_water/
A Haunted House,59,12,2013,http://www.rottentomatoes.com/m/a_haunted_house/
Just My Luck,60,13,2006,http://www.rottentomatoes.com/m/just_my_luck/
Hide and Seek,60,13,2005,http://www.rottentomatoes.com/m/1141193-hide_and_seek/
Down Periscope,60,13,1996,http://www.rottentomatoes.com/m/down_periscope/
Made of Honor,61,14,2008,http://www.rottentomatoes.com/m/made_of_honor/
Penn & Teller Get Killed (Dead Funny),61,14,1989,http://www.rottentomatoes.com/m/penn_and_teller_get_killed/
Almost Heroes,61,14,1998,http://www.rottentomatoes.com/m/almost_heroes/
White Chicks,62,15,2004,http://www.rottentomatoes.com/m/white_chicks/
Sleepover,62,15,2004,http://www.rottentomatoes.com/m/sleepover/
Monster-in-Law,63,16,2005,http://www.rottentomatoes.com/m/monsterinlaw/
Dirty Work,64,17,1998,http://www.rottentomatoes.com/m/1083480-dirty_work/
Legendary,64,17,2010,http://www.rottentomatoes.com/m/legendary/
Essex Boys,64,17,2000,http://www.rottentomatoes.com/m/essex_boys/
Santa Claus - The Movie,65,18,1985,http://www.rottentomatoes.com/m/santa_claus_the_movie/
The Lucky One,67,20,2012,http://www.rottentomatoes.com/m/the_lucky_one_2012/
Alvin and the Chipmunks,73,26,2007,http://www.rottentomatoes.com/m/1184827-alvin_and_the_chipmunks/
Waist Deep,74,27,2006,http://www.rottentomatoes.com/m/waist_deep/
Nowhere,74,27,1997,http://www.rottentomatoes.com/m/nowhere/
The Game Plan,75,28,2007,http://www.rottentomatoes.com/m/the_gameplan/
Forever Strong,76,29,2008,http://www.rottentomatoes.com/m/10010155-forever_strong/
To Save a Life,80,33,2010,http://www.rottentomatoes.com/m/to_save_a_life/
The United States of Leland,81,34,2002,http://www.rottentomatoes.com/m/united_states_of_leland/
Memoirs of a Geisha,82,35,2005,http://www.rottentomatoes.com/m/memoirs_of_a_geisha/
Radio,83,36,2003,http://www.rottentomatoes.com/m/radio/
August Rush,84,37,2007,http://www.rottentomatoes.com/m/august_rush/
The Power of One,86,39,1992,http://www.rottentomatoes.com/m/power_of_one/
Return to the Blue Lagoon,46,0,1991,http://www.rottentomatoes.com/m/return_to_the_blue_lagoon/
Return of the Living Dead Part II,46,0,1988,http://www.rottentomatoes.com/m/return_of_the_living_dead_2/
Delta of Venus,46,0,1994,http://www.rottentomatoes.com/m/delta_of_venus/
Daddy Day Camp,47,1,2007,http://www.rottentomatoes.com/m/daddy_day_camp/
Zoom,49,3,2006,http://www.rottentomatoes.com/m/zoom/
Witless Protection,49,3,2008,http://www.rottentomatoes.com/m/witless_protection/
Yu-Gi-Oh! - The Movie (Yugio: Gekijo-ban),51,5,2004,http://www.rottentomatoes.com/m/yugioh/
Death Wish 3,52,6,1985,http://www.rottentomatoes.com/m/death_wish_3/
Bulletproof,54,8,1996,http://www.rottentomatoes.com/m/1073161-bulletproof/
When a Stranger Calls,55,9,2006,http://www.rottentomatoes.com/m/when_a_stranger_calls/
Bride Wars,56,10,2009,http://www.rottentomatoes.com/m/bride_wars/
Perfect Stranger,57,11,2007,http://www.rottentomatoes.com/m/1171939-perfect_stranger/
I Cant Think Straight,59,13,2008,http://www.rottentomatoes.com/m/cant_think_straight/
Thirteen Ghosts (13 Ghosts),60,14,2001,http://www.rottentomatoes.com/m/thirteen_ghosts/
Dutch,60,14,1991,http://www.rottentomatoes.com/m/dutch/
Hannibal Rising,61,15,2007,http://www.rottentomatoes.com/m/hannibal_rising/
The Condemned,61,15,2007,http://www.rottentomatoes.com/m/condemned/
Brain Dead,63,17,1989,http://www.rottentomatoes.com/m/brain_dead/
The Hot Chick,67,21,2002,http://www.rottentomatoes.com/m/hot_chick/
Into the Blue,67,21,2005,http://www.rottentomatoes.com/m/into_the_blue/
Madeas Witness Protection,67,21,2012,http://www.rottentomatoes.com/m/madeas_witness_protection/
Mr. Deeds,68,22,2002,http://www.rottentomatoes.com/m/mr_deeds/
The World Unseen,70,24,2007,http://www.rottentomatoes.com/m/world_unseen/
Walking Tall,71,25,2004,http://www.rottentomatoes.com/m/walking_tall/
Eagle Eye,72,26,2008,http://www.rottentomatoes.com/m/eagle_eye/
Tyler Perrys Good Deeds,78,32,2012,http://www.rottentomatoes.com/m/tyler_perrys_good_deeds/
Music Within,79,33,2007,http://www.rottentomatoes.com/m/music_within/
The Guardian,83,37,2006,http://www.rottentomatoes.com/m/guardian/
I Am David,84,38,2004,http://www.rottentomatoes.com/m/i_am_david/
Newsies,86,40,1992,http://www.rottentomatoes.com/m/newsies/
Police Academy 4 - Citizens on Patrol,45,0,1987,http://www.rottentomatoes.com/m/police_academy_4_citizens_on_patrol/
The Big Green,45,0,1995,http://www.rottentomatoes.com/m/big_green/
Caught Up,45,0,1998,http://www.rottentomatoes.com/m/caught_up/
The Whole Ten Yards,49,4,2004,http://www.rottentomatoes.com/m/whole_ten_yards/
Bio-Dome,50,5,1996,http://www.rottentomatoes.com/m/biodome/
So Undercover,51,6,2012,http://www.rottentomatoes.com/m/so_undercover/
Jawbreaker,52,7,1999,http://www.rottentomatoes.com/m/jawbreaker/
Undiscovered,52,7,2005,http://www.rottentomatoes.com/m/undiscovered/
Troop Beverly Hills,53,8,1989,http://www.rottentomatoes.com/m/troop_beverly_hills/
New York Minute,56,11,2004,http://www.rottentomatoes.com/m/new_york_minute/
Employee of the Month,56,11,2003,http://www.rottentomatoes.com/m/1141892-employee_of_the_month/
The Dukes of Hazzard,58,13,2005,http://www.rottentomatoes.com/m/dukes_of_hazzard/
B.A.P.S.,58,13,1997,http://www.rottentomatoes.com/m/baps/
The One,59,14,2001,http://www.rottentomatoes.com/m/the-one/
Head in the Clouds,60,15,2004,http://www.rottentomatoes.com/m/head_in_the_clouds/
Love Stinks,64,19,1999,http://www.rottentomatoes.com/m/love_stinks/
Julien Donkey-Boy,71,26,1999,http://www.rottentomatoes.com/m/julien_donkeyboy/
What Happens in Vegas,72,27,2008,http://www.rottentomatoes.com/m/10008760-what_happens_in_vegas/
Heavyweights (Heavy Weights),74,29,1995,http://www.rottentomatoes.com/m/1059860-heavyweights/
Madea Goes to Jail,74,29,2009,http://www.rottentomatoes.com/m/madea-goes-to-jail/
Party Monster,74,29,2003,http://www.rottentomatoes.com/m/party_monster/
