repository_language,type,active_repos_by_url,events,year,quarter
Xtend,ForkEvent,1,1,2013,1
Moocode,PushEvent,1,1,2014,2
Swift,PushEvent,7343,40646,2014,3
Objective-C,PushEvent,36414,250836,2014,2
Julia,PushEvent,1183,12280,2014,2
VimL,PushEvent,22450,131261,2014,4
PHP,ForkEvent,28760,79882,2014,4
Matlab,PushEvent,6052,54533,2014,4
SQL,WatchEvent,41,176,2014,4
Swift,ForkEvent,1496,6499,2014,4
CSS,WatchEvent,376,561,2015,1
Scala,PushEvent,217,412,2015,1
ActionScript,ForkEvent,7,10,2015,1
Haskell,IssuesEvent,18,20,2015,1
OCaml,WatchEvent,12,17,2015,1
DM,PushEvent,23,78,2015,1
Perl6,PushEvent,14,32,2015,1
LiveScript,WatchEvent,1,1,2015,1
Emacs Lisp,IssuesEvent,573,2558,2014,3
Nix,PushEvent,241,7688,2014,3
Lasso,PushEvent,44,229,2014,3
Dogescript,PushEvent,1,26,2014,3
Objective-C++,IssuesEvent,48,236,2014,3
Matlab,ForkEvent,789,1530,2014,3
JavaScript,CreateEvent,756,774,2014,4
Common Lisp,ForkEvent,345,579,2014,3
Assembly,ForkEvent,332,994,2014,3
TeX,IssuesEvent,558,3020,2014,3
Processing,ForkEvent,258,564,2014,3
Processing,IssuesEvent,84,277,2014,4
Nimrod,ForkEvent,96,167,2014,4
Verilog,WatchEvent,203,431,2014,4
Gosu,WatchEvent,72,335,2014,4
AGS Script,IssuesEvent,41,196,2014,4
SuperCollider,ForkEvent,15,19,2014,4
Monkey,PushEvent,47,196,2014,4
XC,PushEvent,40,427,2014,3
BlitzBasic,IssuesEvent,17,37,2014,3
MoonScript,IssuesEvent,5,42,2014,3
HaXe,PushEvent,6,30,2014,3
Thrift,WatchEvent,2,48,2014,4
Eiffel,ForkEvent,15,23,2014,4
Mercury,IssuesEvent,7,81,2014,3
Augeas,PushEvent,35,127,2014,3
Component Pascal,WatchEvent,8,15,2014,4
ATS,IssuesEvent,4,16,2014,4
Rouge,PushEvent,1,16,2014,4
Zephir,WatchEvent,17,29,2014,3
Inform 7,IssuesEvent,4,27,2014,3
TeX,WatchEvent,1286,7324,2014,2
Emacs Lisp,IssuesEvent,533,2337,2014,2
Haskell,WatchEvent,2538,13130,2014,2
VHDL,IssuesEvent,84,182,2014,2
Swift,IssuesEvent,104,398,2014,2
Matlab,ForkEvent,707,1450,2014,2
xBase,PushEvent,42,1662,2014,2
Gosu,WatchEvent,38,186,2014,2
Bluespec,ForkEvent,6,10,2014,4
OpenEdge ABL,ForkEvent,37,90,2014,2
AutoHotkey,ForkEvent,98,149,2014,2
Opa,ForkEvent,5,7,2014,2
ooc,PushEvent,4,23,2014,2
Nimrod,IssuesEvent,1,4,2015,1
PureScript,PushEvent,3,7,2015,1
Oz,PushEvent,1,1,2015,1
Objective-J,WatchEvent,1,1,2015,1
Xtend,PushEvent,2,6,2015,1
Max,WatchEvent,1,1,2015,1
UnrealScript,IssuesEvent,1,3,2014,3
DOT,ForkEvent,22,39,2014,4
Mercury,ForkEvent,5,13,2014,2
SourcePawn,WatchEvent,21,43,2014,2
REALbasic,ForkEvent,3,6,2014,2
Turing,ForkEvent,8,9,2014,3
Zimpl,PushEvent,2,5,2014,4
Cycript,PushEvent,1,5,2014,3
Xojo,ForkEvent,17,19,2014,3
LookML,WatchEvent,2,2,2014,3
Gnuplot,WatchEvent,3,9,2014,2
LSL,WatchEvent,2,2,2014,3
Pure Data,ForkEvent,19,31,2014,2
Erlang,WatchEvent,1575,7088,2014,1
Erlang,PushEvent,2962,23158,2014,1
C++,IssuesEvent,5132,39840,2014,1
Puppet,ForkEvent,1324,3129,2014,1
LiveScript,PushEvent,303,3455,2014,1
Elm,PushEvent,95,776,2014,1
Perl,CreateEvent,20,20,2014,1
Julia,ForkEvent,225,766,2014,1
Agda,WatchEvent,33,114,2014,1
Brightscript,ForkEvent,7,27,2014,1
Kotlin,ForkEvent,19,45,2014,1
REALbasic,ForkEvent,15,21,2014,1
Opa,WatchEvent,7,7,2014,1
PogoScript,PushEvent,12,47,2014,1
ABAP,ForkEvent,12,16,2014,1
Inform 7,IssuesEvent,6,24,2014,2
Arduino,CreateEvent,18,18,2014,1
Nimrod,ForkEvent,19,71,2014,2
Java,ForkEvent,24828,78369,2013,2
C#,WatchEvent,6722,23308,2013,2
PHP,IssuesEvent,8751,59107,2013,2
R,PushEvent,1153,32086,2012,2
C#,WatchEvent,4756,16565,2012,4
Java,PushEvent,110698,1086477,2013,3
PowerShell,PushEvent,1003,6730,2013,3
Java,WatchEvent,14464,121208,2012,3
Python,WatchEvent,18977,187669,2012,3
Python,WatchEvent,34065,179287,2013,4
C#,ForkEvent,5908,17560,2013,3
C,ForkEvent,1942,11091,2012,1
C#,ForkEvent,6639,18488,2013,4
Max,IssuesEvent,6,85,2013,4
FORTRAN,PushEvent,322,8141,2012,2
OCaml,PushEvent,1340,17417,2013,4
OCaml,PushEvent,557,13937,2012,3
Haskell,PushEvent,5703,47561,2013,4
Matlab,PushEvent,769,12497,2012,3
VimL,ForkEvent,1689,5724,2013,1
Dart,WatchEvent,259,933,2012,4
Racket,PushEvent,355,8218,2012,3
ActionScript,PushEvent,2037,16630,2013,3
XML,ForkEvent,155,920,2013,2
Groovy,IssuesEvent,64,708,2012,1
Erlang,ForkEvent,213,1044,2012,1
Visual Basic,PushEvent,1385,8138,2013,3
C++,ForkEvent,1166,7017,2012,1
Puppet,WatchEvent,730,1825,2013,1
Scilab,PushEvent,8,567,2012,1
PowerShell,IssuesEvent,95,410,2013,3
PowerShell,WatchEvent,76,1229,2012,2
ActionScript,IssuesEvent,187,2990,2012,3
F#,PushEvent,253,4561,2012,3
Emacs Lisp,IssuesEvent,301,1278,2012,4
XML,PushEvent,100,2359,2013,4
F#,ForkEvent,44,203,2012,3
Delphi,WatchEvent,212,462,2013,2
Assembly,WatchEvent,223,952,2013,1
Kotlin,IssuesEvent,5,40,2013,2
R,WatchEvent,585,2105,2013,1
Ruby,CreateEvent,285,716,2012,3
Processing,ForkEvent,146,367,2013,3
OpenEdge ABL,WatchEvent,19,57,2012,4
Rust,IssuesEvent,57,1259,2013,3
Opa,PushEvent,21,311,2012,2
Delphi,IssuesEvent,68,646,2013,3
XSLT,WatchEvent,43,69,2013,2
Apex,ForkEvent,17,149,2012,2
Prolog,IssuesEvent,21,124,2013,1
Ada,PushEvent,91,973,2013,1
HaXe,PushEvent,66,347,2013,4
Awk,PushEvent,17,113,2013,1
D,ForkEvent,29,156,2012,1
F#,ForkEvent,46,291,2012,2
Scheme,ForkEvent,65,226,2012,3
Nemerle,PushEvent,24,193,2012,4
Groovy,ForkEvent,672,1319,2013,2
Mathematica,IssuesEvent,4,11,2014,2
Visual Basic,WatchEvent,128,324,2012,4
Kotlin,WatchEvent,15,74,2012,3
PowerShell,IssuesEvent,61,272,2013,1
ASP,WatchEvent,93,523,2013,3
Apex,IssuesEvent,16,226,2012,2
FORTRAN,WatchEvent,119,322,2013,3
CLIPS,PushEvent,7,82,2013,1
Dart,ForkEvent,111,267,2012,4
Logtalk,PushEvent,3,164,2013,3
M,WatchEvent,19,245,2013,4
Scilab,PushEvent,55,370,2013,3
Matlab,WatchEvent,129,431,2012,3
Racket,WatchEvent,60,326,2012,2
VHDL,WatchEvent,10,36,2012,1
VHDL,IssuesEvent,10,193,2013,1
CSS,CreateEvent,220,222,2013,3
R,CreateEvent,17,17,2013,2
Nimrod,ForkEvent,5,6,2013,1
Scheme,IssuesEvent,30,102,2012,4
Parrot,WatchEvent,6,22,2013,2
Opa,ForkEvent,9,10,2013,2
Modelica,ForkEvent,3,9,2012,1
Turing,PushEvent,6,36,2012,4
Turing,IssuesEvent,2,8,2012,3
Boo,WatchEvent,13,14,2013,3
PHP,CreateEvent,62,62,2013,1
PogoScript,ForkEvent,1,34,2013,2
XProc,PushEvent,3,19,2013,2
Rebol,IssuesEvent,2,12,2013,3
Factor,IssuesEvent,1,47,2012,4
Verilog,IssuesEvent,9,18,2012,4
Processing,ForkEvent,15,18,2013,1
Augeas,ForkEvent,6,14,2013,1
Logtalk,PushEvent,3,105,2012,2
Fancy,IssuesEvent,1,2,2012,2
OpenEdge ABL,WatchEvent,5,27,2012,1
Eiffel,WatchEvent,17,22,2013,4
Shell,CreateEvent,20,21,2012,4
Monkey,WatchEvent,8,12,2013,3
Monkey,IssuesEvent,2,2,2013,4
Bro,ForkEvent,2,3,2013,3
Arc,ForkEvent,4,12,2012,1
Parrot,WatchEvent,5,14,2013,1
Bluespec,IssuesEvent,1,4,2013,4
Zephir,IssuesEvent,2,2,2014,2
Parrot,WatchEvent,1,3,2012,1
Elixir,CreateEvent,1,1,2013,2
Max,IssuesEvent,1,2,2013,1
Fancy,WatchEvent,2,7,2012,4
Augeas,ForkEvent,3,21,2013,3
ABAP,ForkEvent,4,4,2013,3
Ragel in Ruby Host,ForkEvent,6,8,2013,4
Gosu,ForkEvent,2,6,2012,2
Elm,ForkEvent,6,9,2013,4
Pure Data,IssuesEvent,1,1,2013,4
OpenEdge ABL,CreateEvent,1,1,2013,4
Ceylon,IssuesEvent,1,2,2012,3
Eiffel,IssuesEvent,2,6,2012,1
M,CreateEvent,2,2,2013,3
Assembly,CreateEvent,1,2,2012,3
Rouge,IssuesEvent,1,1,2013,4
ColdFusion,CreateEvent,1,1,2013,1
Mirah,ForkEvent,1,1,2012,4
Glyph,IssuesEvent,1,1,2014,2
AppleScript,CreateEvent,1,1,2013,4
CSS,PushEvent,151499,1606357,2014,3
Ruby,PushEvent,132397,1082798,2014,3
Perl,WatchEvent,3695,12274,2014,3
Scala,WatchEvent,3401,22243,2014,2
Python,CreateEvent,1051,1056,2014,4
CoffeeScript,IssuesEvent,2365,12408,2014,4
Julia,IssuesEvent,302,1780,2014,4
Elixir,PushEvent,1210,8383,2014,4
Vala,PushEvent,302,3695,2014,4
CoffeeScript,IssuesEvent,25,30,2015,1
CoffeeScript,WatchEvent,97,184,2015,1
Nimrod,WatchEvent,5,27,2015,1
ActionScript,WatchEvent,5,5,2015,1
Papyrus,IssuesEvent,1,1,2015,1
TypeScript,WatchEvent,6,13,2015,1
Ruby,CreateEvent,2,2,2015,1
SuperCollider,PushEvent,4,5,2015,1
ASP,IssuesEvent,2,3,2015,1
OCaml,IssuesEvent,5,7,2015,1
VimL,ForkEvent,2048,6454,2014,3
Lua,PushEvent,7118,80124,2014,3
Arduino,PushEvent,4297,20782,2014,3
Shell,ForkEvent,10981,29393,2014,3
Rust,ForkEvent,462,1841,2014,3
Kotlin,IssuesEvent,14,70,2014,3
XSLT,PushEvent,2023,18563,2014,3
Lua,WatchEvent,2689,8627,2014,3
Arc,WatchEvent,21,62,2014,3
Python,CreateEvent,317,329,2014,3
Objective-C++,ForkEvent,128,452,2014,4
Stata,PushEvent,199,1557,2014,4
XSLT,IssuesEvent,230,1566,2014,4
ASP,IssuesEvent,65,584,2014,4
Pascal,WatchEvent,283,734,2014,3
Objective-C,CreateEvent,280,282,2014,3
Factor,PushEvent,15,273,2014,3
nesC,WatchEvent,33,139,2014,4
Lasso,PushEvent,52,241,2014,4
D,IssuesEvent,176,706,2014,4
IDL,IssuesEvent,29,315,2014,4
Papyrus,IssuesEvent,3,166,2014,4
VCL,WatchEvent,29,107,2014,3
SQL,ForkEvent,42,70,2014,4
AutoIt,IssuesEvent,19,88,2014,4
HaXe,ForkEvent,21,28,2014,4
PAWN,ForkEvent,16,32,2014,4
M,ForkEvent,36,55,2014,4
AppleScript,ForkEvent,81,148,2014,3
Red,PushEvent,18,213,2014,4
Isabelle,PushEvent,20,206,2014,3
Monkey,WatchEvent,8,10,2014,4
Hy,PushEvent,17,198,2014,3
GAP,ForkEvent,15,38,2014,4
Pure Data,ForkEvent,29,46,2014,4
PureScript,ForkEvent,52,81,2014,3
ANTLR,WatchEvent,12,78,2014,3
Game Maker Language,WatchEvent,25,78,2014,3
Dart,IssuesEvent,194,1094,2014,2
Julia,IssuesEvent,327,1956,2014,2
OCaml,IssuesEvent,217,851,2014,2
ColdFusion,WatchEvent,163,350,2014,2
Objective-J,PushEvent,67,1299,2014,2
Swift,ForkEvent,311,3490,2014,2
UnrealScript,PushEvent,65,929,2014,2
REALbasic,ForkEvent,5,7,2014,4
xBase,ForkEvent,5,6,2014,4
GDScript,ForkEvent,6,11,2014,4
Factor,PushEvent,15,525,2014,2
Ox,PushEvent,3,61,2014,4
DM,WatchEvent,40,111,2014,2
Racket,IssuesEvent,1,1,2015,1
REALbasic,PushEvent,1,1,2015,1
Eiffel,PushEvent,3,7,2015,1
nesC,PushEvent,1,1,2015,1
Brightscript,PushEvent,2,2,2015,1
SQF,IssuesEvent,1,1,2015,1
Io,WatchEvent,11,19,2014,4
Pan,IssuesEvent,6,16,2014,2
Nu,PushEvent,7,52,2014,2
Red,ForkEvent,8,19,2014,3
ATS,WatchEvent,26,38,2014,3
BlitzBasic,WatchEvent,40,70,2014,2
wisp,PushEvent,1,2,2014,4
Zimpl,WatchEvent,3,3,2014,4
Zimpl,ForkEvent,4,4,2014,4
MoonScript,WatchEvent,16,59,2014,2
Perl6,ForkEvent,17,30,2014,2
OpenSCAD,CreateEvent,1,1,2014,3
Awk,IssuesEvent,7,11,2014,2
Nu,ForkEvent,4,11,2014,2
Frege,ForkEvent,1,1,2015,1
SourcePawn,WatchEvent,1,1,2015,1
Objective-C,ForkEvent,11932,43941,2014,1
Emacs Lisp,WatchEvent,1908,8865,2014,1
Rust,PushEvent,1183,18042,2014,1
Objective-C,IssuesEvent,3840,17606,2014,1
Verilog,PushEvent,438,4461,2014,1
Clean,PushEvent,10,171,2014,1
Assembly,ForkEvent,266,731,2014,1
Racket,WatchEvent,245,738,2014,1
Kotlin,IssuesEvent,12,65,2014,1
Pascal,IssuesEvent,75,314,2014,1
UnrealScript,WatchEvent,9,9,2014,1
AppleScript,ForkEvent,73,140,2014,1
UnrealScript,ForkEvent,8,9,2014,1
Agda,IssuesEvent,4,19,2014,1
Tcl,WatchEvent,86,191,2014,1
KRL,WatchEvent,27,29,2014,1
Slash,WatchEvent,14,46,2014,1
MoonScript,IssuesEvent,5,19,2014,1
