repository_language,type,active_repos_by_url,events,year,quarter
Emacs Lisp,CreateEvent,1,1,2013,4
Ceylon,ForkEvent,2,4,2013,1
Perl,CreateEvent,12,12,2012,4
Eiffel,ForkEvent,13,14,2013,4
Pike,WatchEvent,3,3,2014,2
J,WatchEvent,1,1,2013,4
Factor,WatchEvent,4,9,2013,4
Racket,CreateEvent,1,1,2013,1
Monkey,ForkEvent,2,3,2013,2
Max,ForkEvent,5,5,2013,4
eC,IssuesEvent,1,1,2014,2
Scala,CreateEvent,4,4,2013,1
eC,WatchEvent,1,1,2013,3
Boo,ForkEvent,1,2,2012,4
Assembly,CreateEvent,1,1,2013,3
TXL,PushEvent,1,1,2013,1
Logtalk,IssuesEvent,1,1,2013,3
Logos,CreateEvent,1,1,2014,2
Fancy,IssuesEvent,1,1,2013,4
Common Lisp,CreateEvent,1,1,2012,4
Go,ForkEvent,4500,17350,2014,3
Ruby,IssuesEvent,10857,57694,2014,3
C#,WatchEvent,10806,44681,2014,2
PHP,IssuesEvent,12400,74392,2014,2
Racket,PushEvent,617,6096,2014,2
Go,IssuesEvent,1703,9650,2014,2
C++,IssuesEvent,6384,72690,2014,4
TeX,WatchEvent,1739,7243,2014,4
Visual Basic,PushEvent,2634,19058,2014,4
Objective-C,IssuesEvent,3703,17913,2014,4
Mercury,PushEvent,185,1410,2014,4
ATS,PushEvent,16,755,2014,4
Perl,PushEvent,245,563,2015,1
CSS,ForkEvent,194,310,2015,1
Python,IssuesEvent,243,387,2015,1
D,PushEvent,35,76,2015,1
Kotlin,PushEvent,5,6,2015,1
R,IssuesEvent,12,16,2015,1
VimL,IssuesEvent,9,12,2015,1
Coq,IssuesEvent,1,3,2015,1
PigLatin,PushEvent,1,2,2015,1
ActionScript,IssuesEvent,1,1,2015,1
Gnuplot,PushEvent,1,1,2015,1
XQuery,PushEvent,134,1089,2014,3
Perl,ForkEvent,3172,6406,2014,3
Objective-J,PushEvent,81,1125,2014,3
Verilog,PushEvent,473,4245,2014,3
Haskell,IssuesEvent,948,4627,2014,3
Julia,WatchEvent,476,2241,2014,3
Max,PushEvent,201,1532,2014,3
ATS,PushEvent,21,460,2014,3
IDL,IssuesEvent,37,364,2014,3
Objective-C++,ForkEvent,105,497,2014,3
AppleScript,WatchEvent,183,599,2014,3
DM,ForkEvent,74,704,2014,4
Elm,WatchEvent,96,390,2014,4
Nix,IssuesEvent,12,234,2014,3
Matlab,IssuesEvent,211,1211,2014,3
Turing,WatchEvent,11,18,2014,3
Arduino,IssuesEvent,221,647,2014,3
REALbasic,PushEvent,17,167,2014,3
Cuda,IssuesEvent,28,107,2014,4
Standard ML,WatchEvent,90,287,2014,4
MoonScript,PushEvent,53,600,2014,4
Inform 7,PushEvent,73,995,2014,4
ColdFusion,WatchEvent,131,203,2014,4
ooc,PushEvent,57,609,2014,4
BitBake,ForkEvent,1,4,2014,4
ColdFusion,IssuesEvent,70,374,2014,3
Squirrel,WatchEvent,38,78,2014,4
Arc,PushEvent,18,216,2014,4
Opal,PushEvent,2,11,2014,4
Volt,WatchEvent,1,4,2014,4
Vala,IssuesEvent,40,321,2014,3
Perl,CreateEvent,80,103,2014,3
eC,PushEvent,5,43,2014,3
Oxygene,WatchEvent,7,8,2014,4
Eiffel,ForkEvent,17,38,2014,3
PAWN,WatchEvent,26,55,2014,3
Nemerle,ForkEvent,17,33,2014,3
Rebol,IssuesEvent,8,19,2014,3
XQuery,IssuesEvent,23,126,2014,3
PowerShell,CreateEvent,5,5,2014,4
Clean,WatchEvent,6,10,2014,4
KRL,WatchEvent,1,2,2014,4
Nu,ForkEvent,3,4,2014,4
Stata,WatchEvent,35,53,2014,3
PogoScript,PushEvent,7,18,2014,4
OpenSCAD,WatchEvent,14,25,2014,3
PigLatin,WatchEvent,5,5,2014,3
ANTLR,ForkEvent,9,36,2014,3
Xtend,PushEvent,88,1642,2014,2
nesC,WatchEvent,47,153,2014,2
Common Lisp,WatchEvent,760,2490,2014,2
Prolog,WatchEvent,94,144,2014,2
Common Lisp,ForkEvent,295,516,2014,2
Inform 7,PushEvent,26,852,2014,2
Delphi,PushEvent,19,44,2014,2
DOT,ForkEvent,30,70,2014,2
FLUX,PushEvent,22,114,2014,2
nesC,IssuesEvent,31,257,2014,2
Opa,WatchEvent,6,6,2014,2
Tcl,IssuesEvent,25,82,2014,2
Nimrod,ForkEvent,1,3,2015,1
Processing,IssuesEvent,2,2,2015,1
Nemerle,PushEvent,1,1,2015,1
Mercury,WatchEvent,1,1,2015,1
PigLatin,IssuesEvent,1,1,2014,4
NetLogo,WatchEvent,14,20,2014,3
AutoIt,WatchEvent,30,135,2014,2
M,WatchEvent,31,118,2014,2
HaXe,IssuesEvent,4,4,2014,4
ooc,IssuesEvent,2,6,2014,4
SourcePawn,CreateEvent,3,3,2014,3
Mirah,ForkEvent,1,1,2014,4
Crystal,IssuesEvent,1,26,2014,2
Delphi,ForkEvent,45,53,2014,2
Nu,IssuesEvent,1,1,2014,4
Java,PushEvent,158534,1662692,2014,1
C,ForkEvent,17369,56205,2014,1
PHP,ForkEvent,25145,74147,2014,1
Haskell,WatchEvent,2148,8303,2014,1
FORTRAN,PushEvent,1041,8741,2014,1
Processing,PushEvent,1641,10470,2014,1
FORTRAN,IssuesEvent,55,230,2014,1
XSLT,WatchEvent,316,1100,2014,1
Max,WatchEvent,46,125,2014,1
Common Lisp,IssuesEvent,159,523,2014,1
D,ForkEvent,394,835,2014,1
Matlab,IssuesEvent,180,668,2014,1
Max,IssuesEvent,16,261,2014,1
xBase,PushEvent,38,1084,2014,1
Pike,WatchEvent,20,20,2014,1
Racket,IssuesEvent,61,216,2014,1
VHDL,WatchEvent,91,200,2014,1
Processing,CreateEvent,13,13,2014,1
Xtend,ForkEvent,27,48,2014,1
SuperCollider,IssuesEvent,4,35,2014,2
Slash,IssuesEvent,6,20,2014,2
SAS,IssuesEvent,3,240,2014,2
Fantom,PushEvent,5,133,2014,2
DCPU-16 ASM,ForkEvent,24,29,2014,1
Scilab,WatchEvent,26,38,2014,1
Volt,PushEvent,7,102,2014,2
XProc,ForkEvent,10,13,2014,1
RobotFramework,PushEvent,10,59,2014,2
Glyph,ForkEvent,6,7,2014,2
JavaScript,IssuesEvent,20090,140970,2013,2
JavaScript,PushEvent,153375,1538493,2013,1
C++,WatchEvent,7200,92757,2012,2
JavaScript,ForkEvent,25513,208013,2012,3
Java,WatchEvent,21059,94441,2013,1
CoffeeScript,PushEvent,4015,90799,2012,2
JavaScript,ForkEvent,23146,225111,2012,2
Ruby,IssuesEvent,8170,44506,2013,1
TypeScript,PushEvent,1320,15179,2013,3
Objective-C,WatchEvent,14537,176841,2013,4
Objective-C,IssuesEvent,2381,11100,2013,2
D,PushEvent,846,8909,2012,4
VimL,PushEvent,17548,104910,2013,3
Emacs Lisp,PushEvent,6837,51635,2013,4
Ruby,ForkEvent,25308,76784,2013,4
CoffeeScript,PushEvent,8698,75347,2013,4
R,IssuesEvent,51,645,2012,1
Tcl,PushEvent,254,5532,2012,2
JavaScript,WatchEvent,11232,217767,2012,1
C++,ForkEvent,5266,31837,2012,3
C#,WatchEvent,7296,25880,2013,3
Lua,PushEvent,4349,39929,2013,3
Racket,WatchEvent,210,819,2013,4
ActionScript,PushEvent,1974,16389,2013,1
Puppet,PushEvent,1570,26618,2012,2
Prolog,IssuesEvent,14,125,2012,2
Scala,IssuesEvent,384,6483,2012,2
C#,WatchEvent,6208,21550,2013,1
C++,ForkEvent,5846,17254,2012,4
Visual Basic,PushEvent,583,7672,2012,3
Clojure,IssuesEvent,424,1901,2013,2
Coq,PushEvent,103,1079,2013,1
ASP,PushEvent,892,9949,2013,4
SuperCollider,PushEvent,170,1714,2013,3
Verilog,PushEvent,136,4890,2012,2
Scheme,ForkEvent,224,479,2013,3
XML,PushEvent,524,3193,2013,1
Haxe,ForkEvent,171,489,2013,3
Vala,PushEvent,138,2783,2012,3
R,ForkEvent,546,1241,2013,2
AutoHotkey,PushEvent,146,887,2012,4
FORTRAN,PushEvent,455,4424,2013,1
Julia,IssuesEvent,111,1072,2013,2
F#,WatchEvent,241,1088,2013,2
Rust,PushEvent,700,10813,2013,3
OCaml,WatchEvent,379,1148,2013,2
Apex,PushEvent,185,1064,2013,3
Visual Basic,IssuesEvent,36,294,2012,2
ColdFusion,ForkEvent,117,489,2012,3
Elixir,WatchEvent,240,1784,2013,3
Lasso,ForkEvent,16,158,2013,3
Standard ML,PushEvent,49,1662,2012,3
Delphi,WatchEvent,147,1188,2012,2
Lua,WatchEvent,1203,3533,2013,1
Visual Basic,WatchEvent,249,716,2013,4
Rust,IssuesEvent,65,1053,2013,4
XC,PushEvent,78,866,2013,4
FORTRAN,WatchEvent,72,382,2012,2
Lua,ForkEvent,389,2016,2012,2
Common Lisp,ForkEvent,272,552,2013,2
Io,PushEvent,25,139,2012,4
Assembly,WatchEvent,259,977,2013,3
Nimrod,PushEvent,14,474,2012,2
Glyph,PushEvent,8,23,2013,4
Scheme,WatchEvent,288,863,2013,2
Julia,IssuesEvent,6,466,2012,2
OpenEdge ABL,PushEvent,50,1372,2012,3
nesC,WatchEvent,9,23,2013,4
Brightscript,IssuesEvent,4,59,2013,4
Self,PushEvent,5,12,2013,4
XML,WatchEvent,48,100,2013,4
Nemerle,ForkEvent,9,16,2012,4
FORTRAN,ForkEvent,38,120,2012,3
Factor,ForkEvent,20,27,2014,1
Logtalk,ForkEvent,1,1,2014,2
Io,WatchEvent,37,163,2013,4
Lasso,ForkEvent,10,209,2013,2
Mirah,WatchEvent,5,29,2013,3
Delphi,WatchEvent,85,185,2013,4
Ruby,CreateEvent,192,567,2012,2
Gosu,PushEvent,36,424,2012,3
Dart,ForkEvent,65,277,2012,3
PowerShell,PushEvent,26,153,2012,1
Rust,ForkEvent,44,319,2012,3
Factor,IssuesEvent,3,357,2012,3
Factor,WatchEvent,4,23,2012,4
Dylan,PushEvent,8,90,2012,1
Modelica,PushEvent,35,279,2012,1
ColdFusion,WatchEvent,155,310,2013,3
Xtend,PushEvent,14,114,2013,1
Coq,WatchEvent,23,112,2012,3
Tcl,WatchEvent,36,64,2012,4
Lasso,WatchEvent,14,50,2013,2
Apex,IssuesEvent,23,103,2012,4
Ada,IssuesEvent,6,44,2013,1
F#,IssuesEvent,8,96,2012,1
Coq,IssuesEvent,2,74,2012,2
Forth,IssuesEvent,1,17,2013,4
Squirrel,PushEvent,9,60,2013,3
Dylan,WatchEvent,1,6,2012,1
Coq,ForkEvent,20,40,2013,4
Idris,PushEvent,14,67,2013,4
REALbasic,ForkEvent,1,1,2013,4
Xtend,ForkEvent,9,23,2013,4
SuperCollider,WatchEvent,34,80,2013,4
Opa,ForkEvent,8,45,2012,2
Pure Data,IssuesEvent,6,14,2013,2
Bro,PushEvent,1,30,2012,1
Xtend,IssuesEvent,2,16,2013,1
Verilog,IssuesEvent,18,37,2013,3
LiveScript,IssuesEvent,11,81,2013,1
Puppet,CreateEvent,5,10,2012,3
Dylan,ForkEvent,6,10,2013,4
Max/MSP,IssuesEvent,1,3,2012,1
Processing,IssuesEvent,6,31,2013,1
Arduino,CreateEvent,6,11,2012,3
Eiffel,ForkEvent,2,6,2012,1
Turing,ForkEvent,3,18,2012,3
Delphi,CreateEvent,3,3,2013,2
Groovy,CreateEvent,4,4,2013,3
XC,IssuesEvent,5,10,2013,4
Verilog,ForkEvent,2,9,2012,1
Scheme,CreateEvent,1,1,2014,2
Vala,CreateEvent,1,1,2013,3
Zephir,ForkEvent,2,3,2014,2
Rouge,PushEvent,2,12,2014,1
Boo,ForkEvent,3,7,2012,3
ooc,WatchEvent,9,10,2013,4
Groovy,CreateEvent,6,6,2013,1
Hy,IssuesEvent,2,4,2014,2
Clean,ForkEvent,2,2,2014,2
eC,ForkEvent,1,2,2013,3
Opa,PushEvent,3,6,2013,3
SuperCollider,IssuesEvent,3,3,2012,4
OpenEdge ABL,IssuesEvent,1,3,2012,2
Scheme,CreateEvent,1,1,2013,4
R,ForkEvent,2608,19420,2014,3
Ruby,ForkEvent,25195,78682,2014,2
Ruby,IssuesEvent,10672,58256,2014,2
Go,PushEvent,15493,132432,2014,2
C++,PushEvent,86505,1013761,2014,4
Perl,PushEvent,16188,124818,2014,4
CoffeeScript,PushEvent,14302,111910,2014,4
VCL,WatchEvent,42,159,2014,4
Emacs Lisp,ForkEvent,1056,2928,2014,4
Assembly,PushEvent,2264,22830,2014,4
F#,IssuesEvent,145,1343,2014,4
SourcePawn,WatchEvent,61,135,2014,4
Swift,PushEvent,151,348,2015,1
Erlang,WatchEvent,36,45,2015,1
Groovy,IssuesEvent,6,7,2015,1
Haskell,PushEvent,212,467,2015,1
Erlang,ForkEvent,8,8,2015,1
C,IssuesEvent,90,113,2015,1
Verilog,PushEvent,12,18,2015,1
Kotlin,ForkEvent,3,7,2015,1
Bison,PushEvent,6,12,2015,1
ANTLR,ForkEvent,1,1,2015,1
Lua,IssuesEvent,16,21,2015,1
VimL,IssuesEvent,830,3086,2014,3
C++,IssuesEvent,5708,44344,2014,3
Groovy,WatchEvent,1245,4815,2014,3
PowerShell,WatchEvent,504,2455,2014,3
F#,WatchEvent,403,1737,2014,3
Objective-C++,PushEvent,555,4071,2014,3
Tcl,PushEvent,453,3762,2014,3
AutoIt,PushEvent,166,1194,2014,3
D,IssuesEvent,181,810,2014,3
IDL,WatchEvent,72,402,2014,3
Crystal,PushEvent,32,470,2014,4
F#,IssuesEvent,136,914,2014,3
UnrealScript,PushEvent,37,292,2014,4
Mathematica,WatchEvent,60,131,2014,4
Coq,WatchEvent,65,204,2014,3
Stata,PushEvent,155,1335,2014,3
Coq,ForkEvent,27,43,2014,3
Forth,PushEvent,75,637,2014,4
Nix,WatchEvent,39,299,2014,4
GAMS,PushEvent,15,75,2014,3
Awk,WatchEvent,34,134,2014,4
ooc,ForkEvent,12,18,2014,4
Xtend,WatchEvent,20,61,2014,4
Pascal,IssuesEvent,90,366,2014,3
Shen,PushEvent,2,58,2014,4
Cycript,WatchEvent,2,13,2014,4
FLUX,PushEvent,34,200,2014,4
M,IssuesEvent,16,90,2014,3
Gosu,ForkEvent,44,122,2014,3
Xojo,PushEvent,26,243,2014,3
HaXe,WatchEvent,66,83,2014,4
XQuery,WatchEvent,55,87,2014,4
MoonScript,ForkEvent,16,23,2014,3
CLIPS,PushEvent,16,323,2014,3
Glyph,WatchEvent,3,5,2014,3
Stata,ForkEvent,32,37,2014,3
Kotlin,ForkEvent,36,178,2014,3
Awk,ForkEvent,26,44,2014,3
SQF,PushEvent,253,3603,2014,3
Mercury,ForkEvent,31,56,2014,3
Standard ML,WatchEvent,62,346,2014,2
Perl,ForkEvent,3032,6463,2014,2
Apex,WatchEvent,120,302,2014,2
Assembly,WatchEvent,450,2646,2014,2
Puppet,WatchEvent,1037,2417,2014,2
R,IssuesEvent,768,3904,2014,2
Arduino,ForkEvent,702,1278,2014,2
Ceylon,PushEvent,31,312,2014,2
VHDL,PushEvent,599,6729,2014,2
XC,PushEvent,73,760,2014,2
CSS,CreateEvent,179,190,2014,2
FORTRAN,ForkEvent,210,413,2014,2
JSONiq,IssuesEvent,2,19,2014,3
AGS Script,WatchEvent,26,50,2014,3
Swift,CreateEvent,24,24,2014,2
Objective-C++,IssuesEvent,23,184,2014,2
SAS,ForkEvent,24,30,2014,3
Mirah,WatchEvent,6,41,2014,3
XProc,ForkEvent,1,1,2014,2
Frege,WatchEvent,2,40,2014,2
TypeScript,IssuesEvent,3,4,2015,1
BlitzBasic,ForkEvent,1,1,2015,1
Red,WatchEvent,1,1,2015,1
Scilab,WatchEvent,15,19,2014,3
SystemVerilog,WatchEvent,18,31,2014,4
GAMS,PushEvent,5,23,2014,2
Logos,WatchEvent,157,331,2014,2
Papyrus,WatchEvent,2,3,2014,4
Factor,ForkEvent,3,4,2014,3
RobotFramework,ForkEvent,13,14,2014,3
xBase,WatchEvent,5,6,2014,4
Isabelle,ForkEvent,4,4,2014,4
Cuda,IssuesEvent,12,47,2014,2
XC,IssuesEvent,3,3,2014,3
C++,PushEvent,63094,741587,2014,1
BlitzBasic,PushEvent,233,3592,2014,1
Lua,WatchEvent,2169,6778,2014,1
Lua,PushEvent,6088,58072,2014,1
Visual Basic,ForkEvent,242,414,2014,1
TeX,IssuesEvent,485,3241,2014,1
D,PushEvent,1615,14434,2014,1
Elixir,WatchEvent,295,2030,2014,1
Scheme,IssuesEvent,95,275,2014,1
Perl,ForkEvent,2938,6119,2014,1
Rust,IssuesEvent,99,1246,2014,1
CSS,CreateEvent,271,282,2014,1
CLIPS,PushEvent,35,232,2014,1
Bro,ForkEvent,13,16,2014,1
Squirrel,ForkEvent,21,36,2014,1
Opa,PushEvent,4,10,2014,1
wisp,WatchEvent,23,30,2014,1
COBOL,WatchEvent,6,45,2014,1
Turing,ForkEvent,16,18,2014,1
Fantom,ForkEvent,25,25,2014,1
Mirah,ForkEvent,21,24,2014,1
GAP,IssuesEvent,2,17,2014,2
R,PushEvent,3227,30785,2013,2
D,PushEvent,1025,9504,2013,2
C#,ForkEvent,2666,22084,2012,2
Java,PushEvent,50334,1685179,2012,2
Java,PushEvent,76588,821088,2012,4
Ruby,ForkEvent,15144,140131,2012,2
Java,ForkEvent,15425,48633,2012,4
R,PushEvent,1919,18232,2012,4
Java,WatchEvent,26228,113344,2013,3
Objective-C,ForkEvent,9477,36674,2013,3
Matlab,PushEvent,2403,30713,2013,2
Go,ForkEvent,1388,4692,2013,2
Java,IssuesEvent,8421,89983,2013,2
Rust,ForkEvent,23,99,2012,1
VimL,ForkEvent,1252,11047,2012,2
PHP,CreateEvent,213,224,2013,4
Emacs Lisp,WatchEvent,1085,9999,2012,3
Haskell,PushEvent,5004,40852,2013,2
C++,WatchEvent,12228,55352,2013,3
DM,PushEvent,120,1726,2013,4
C#,ForkEvent,5160,14053,2013,2
Erlang,ForkEvent,2977,4843,2013,3
Clojure,WatchEvent,1419,24304,2012,2
C++,ForkEvent,9108,26343,2013,2
Emacs Lisp,WatchEvent,1403,6477,2013,1
Common Lisp,PushEvent,1261,10105,2013,4
Lua,WatchEvent,1813,5548,2013,4
Go,WatchEvent,2188,14835,2013,1
Erlang,WatchEvent,420,3003,2012,1
HaXe,PushEvent,256,3021,2013,1
D,IssuesEvent,146,991,2013,4
Delphi,ForkEvent,42,301,2012,2
ActionScript,PushEvent,601,10548,2012,1
Haskell,ForkEvent,758,1551,2013,1
Eiffel,IssuesEvent,4,51,2013,1
Prolog,PushEvent,574,5039,2013,2
Erlang,ForkEvent,945,2285,2013,2
Elixir,PushEvent,277,3073,2013,2
Haskell,ForkEvent,726,1433,2012,4
M,ForkEvent,17,42,2013,4
Vala,ForkEvent,34,123,2012,3
TypeScript,IssuesEvent,100,1175,2013,3
Lua,WatchEvent,999,2777,2012,4
Tcl,PushEvent,200,1220,2012,4
Standard ML,PushEvent,120,1231,2013,1
Lua,ForkEvent,666,1545,2012,4
PowerShell,IssuesEvent,27,330,2012,2
PowerShell,ForkEvent,199,492,2013,3
ASP,IssuesEvent,24,134,2013,3
Nimrod,PushEvent,17,90,2013,1
XSLT,ForkEvent,183,591,2013,3
Objective-C,CreateEvent,111,115,2012,4
Arduino,ForkEvent,185,328,2012,4
wisp,WatchEvent,2,4,2014,2
Monkey,PushEvent,12,58,2013,1
Vala,IssuesEvent,19,99,2012,4
Scheme,WatchEvent,194,415,2012,4
Smalltalk,IssuesEvent,16,245,2012,3
Objective-J,IssuesEvent,13,381,2012,2
Bro,PushEvent,29,124,2013,4
Smalltalk,ForkEvent,28,173,2012,2
Matlab,IssuesEvent,112,626,2013,2
Xtend,IssuesEvent,9,41,2013,3
Opa,WatchEvent,8,50,2013,3
Eiffel,ForkEvent,18,29,2013,3
Visual Basic,ForkEvent,17,57,2012,1
Forth,PushEvent,4,9,2013,1
Objective-J,ForkEvent,25,112,2012,3
Idris,IssuesEvent,5,8,2014,2
Opa,WatchEvent,16,48,2012,3
Pure Data,WatchEvent,65,134,2013,3
Omgrofl,WatchEvent,1,1,2014,2
Standard ML,IssuesEvent,8,16,2013,3
Apex,IssuesEvent,25,102,2013,4
Go,CreateEvent,8,14,2012,3
Scala,CreateEvent,20,50,2012,3
C++,CreateEvent,14,42,2012,1
Racket,ForkEvent,3,36,2012,1
Haskell,CreateEvent,5,5,2013,3
MoonScript,WatchEvent,19,55,2013,4
Bro,IssuesEvent,1,12,2014,2
Dylan,ForkEvent,7,11,2013,1
HaXe,IssuesEvent,33,49,2013,2
Awk,WatchEvent,14,76,2013,2
Io,IssuesEvent,2,44,2013,3
XC,ForkEvent,12,33,2013,4
Logtalk,WatchEvent,3,7,2013,1
Mirah,PushEvent,9,21,2013,4
VimL,CreateEvent,32,32,2013,4
Rouge,PushEvent,3,13,2013,2
eC,WatchEvent,2,6,2012,2
Boo,WatchEvent,4,12,2012,1
ASP,ForkEvent,6,18,2012,1
Boo,ForkEvent,3,4,2013,1
Io,WatchEvent,23,53,2013,1
Logtalk,IssuesEvent,2,2,2014,2
Self,PushEvent,5,17,2012,4
Self,PushEvent,6,10,2013,3
M,IssuesEvent,2,9,2013,2
Ceylon,IssuesEvent,4,16,2013,3
Turing,ForkEvent,3,3,2013,4
Ioke,WatchEvent,1,4,2012,3
ASP,CreateEvent,1,1,2013,2
Volt,ForkEvent,3,3,2014,1
Nu,ForkEvent,1,3,2012,2
Ada,IssuesEvent,2,6,2012,2
NetLogo,IssuesEvent,2,4,2013,4
Ecl,IssuesEvent,1,4,2013,3
Rebol,IssuesEvent,1,1,2012,4
OpenEdge ABL,ForkEvent,7,13,2012,3
wisp,ForkEvent,1,1,2014,3
Java,PushEvent,175968,1815997,2014,3
Ruby,WatchEvent,31035,195826,2014,3
JavaScript,IssuesEvent,33852,206683,2014,3
Python,ForkEvent,32420,95925,2014,3
Java,WatchEvent,38006,206261,2014,2
Java,PushEvent,176906,1935910,2014,2
Nimrod,PushEvent,121,1009,2014,2
Clojure,WatchEvent,3155,22227,2014,4
Emacs Lisp,WatchEvent,2290,13301,2014,4
Racket,PushEvent,863,7535,2014,4
Perl,WatchEvent,3640,11763,2014,4
Haxe,ForkEvent,290,744,2014,4
SQF,IssuesEvent,88,1047,2014,4
CoffeeScript,PushEvent,163,341,2015,1
AutoIt,PushEvent,4,5,2015,1
Tcl,PushEvent,6,177,2015,1
Objective-C,IssuesEvent,36,56,2015,1
Visual Basic,PushEvent,30,66,2015,1
Matlab,WatchEvent,13,16,2015,1
Puppet,PushEvent,4977,37101,2014,3
C#,ForkEvent,9960,27330,2014,3
D,PushEvent,1631,14039,2014,3
TeX,WatchEvent,1306,7805,2014,3
Elixir,PushEvent,1128,9740,2014,3
DOT,PushEvent,49,1080,2014,3
Ada,IssuesEvent,8,10,2014,3
Elixir,IssuesEvent,134,837,2014,3
Gnuplot,PushEvent,97,1239,2014,3
Dart,IssuesEvent,257,1728,2014,3
Apex,IssuesEvent,38,299,2014,3
SourcePawn,IssuesEvent,33,391,2014,4
ANTLR,PushEvent,60,242,2014,4
Monkey,ForkEvent,5,8,2014,3
Scheme,IssuesEvent,103,355,2014,3
GDScript,PushEvent,21,391,2014,4
HaXe,PushEvent,4,6,2014,4
GAP,PushEvent,147,1368,2014,3
DOT,PushEvent,43,423,2014,4
Apex,ForkEvent,104,209,2014,4
Agda,WatchEvent,33,81,2014,3
Prolog,ForkEvent,81,158,2014,3
Ecl,PushEvent,13,38,2014,4
Ada,WatchEvent,35,53,2014,4
Perl,CreateEvent,30,101,2014,4
Standard ML,IssuesEvent,18,66,2014,4
AspectJ,IssuesEvent,5,42,2014,4
REALbasic,WatchEvent,8,28,2014,3
Standard ML,CreateEvent,2,2,2014,4
Brightscript,ForkEvent,12,35,2014,4
Red,IssuesEvent,1,56,2014,3
Arduino,PushEvent,3869,18524,2014,2
Coq,PushEvent,188,2112,2014,2
Assembly,ForkEvent,296,765,2014,2
Logos,ForkEvent,106,296,2014,2
ColdFusion,PushEvent,459,4393,2014,2
Glyph,PushEvent,15,96,2014,2
KRL,PushEvent,12,909,2014,2
Rebol,PushEvent,146,1054,2014,2
Scheme,IssuesEvent,97,326,2014,2
Fantom,ForkEvent,3,6,2014,4
RobotFramework,WatchEvent,15,19,2014,3
Pan,IssuesEvent,4,12,2014,4
Nimrod,IssuesEvent,34,256,2014,2
Ceylon,ForkEvent,8,25,2014,3
Propeller Spin,PushEvent,1,3,2015,1
Verilog,ForkEvent,1,1,2015,1
Perl6,ForkEvent,1,1,2015,1
Logos,WatchEvent,3,3,2015,1
LabVIEW,WatchEvent,14,17,2014,3
Augeas,PushEvent,33,163,2014,2
Arduino,CreateEvent,26,26,2014,3
Max,CreateEvent,4,4,2014,4
PAWN,IssuesEvent,8,89,2014,3
Emacs Lisp,CreateEvent,7,7,2014,4
Augeas,ForkEvent,12,43,2014,3
Opa,ForkEvent,1,3,2014,4
XProc,IssuesEvent,4,30,2014,3
ATS,WatchEvent,4,17,2014,2
Visual Basic,CreateEvent,3,3,2014,3
AspectJ,ForkEvent,5,6,2014,4
Hy,ForkEvent,4,4,2014,3
Fantom,IssuesEvent,1,4,2014,3
ASP,CreateEvent,1,1,2014,4
UnrealScript,WatchEvent,3,3,2014,3
Scilab,WatchEvent,13,16,2014,2
Ecl,ForkEvent,3,4,2014,3
Shell,CreateEvent,3,3,2015,1
Nimrod,PushEvent,113,800,2014,1
F#,PushEvent,860,8640,2014,1
CoffeeScript,ForkEvent,2714,10101,2014,1
Scheme,PushEvent,1321,10322,2014,1
Dart,IssuesEvent,209,1581,2014,1
F#,WatchEvent,356,1516,2014,1
Elixir,ForkEvent,154,474,2014,1
Arduino,IssuesEvent,165,401,2014,1
IDL,ForkEvent,56,173,2014,1
Logos,ForkEvent,130,303,2014,1
Pascal,WatchEvent,168,526,2014,1
Python,CreateEvent,187,190,2014,1
SuperCollider,WatchEvent,31,52,2014,1
Matlab,CreateEvent,6,6,2014,1
XProc,WatchEvent,23,30,2014,1
Augeas,PushEvent,20,127,2014,1
Coq,WatchEvent,51,133,2014,1
NetLogo,WatchEvent,21,32,2014,1
Boo,IssuesEvent,2,14,2014,2
eC,PushEvent,5,19,2014,1
AspectJ,ForkEvent,5,5,2014,2
ANTLR,WatchEvent,13,20,2014,2
C++,IssuesEvent,3254,28959,2013,2
Ruby,PushEvent,87405,684607,2012,4
JavaScript,WatchEvent,39250,364948,2012,4
JavaScript,ForkEvent,42677,208440,2013,3
VimL,PushEvent,15381,91265,2013,1
Shell,PushEvent,23064,193370,2012,4
Lua,PushEvent,4989,47487,2013,4
CoffeeScript,PushEvent,7451,66374,2013,3
Clojure,ForkEvent,1013,2476,2013,2
Python,WatchEvent,26657,138726,2013,1
Python,IssuesEvent,9800,58167,2013,2
Groovy,PushEvent,547,8394,2012,1
Racket,PushEvent,687,6106,2013,2
R,ForkEvent,631,1357,2013,3
PHP,WatchEvent,21888,98262,2013,1
Emacs Lisp,ForkEvent,878,4418,2012,3
Groovy,IssuesEvent,310,1466,2013,1
Go,PushEvent,3858,31180,2013,1
Go,PushEvent,6187,52012,2013,2
Haxe,PushEvent,695,4944,2013,3
AutoHotkey,PushEvent,161,802,2013,1
D,IssuesEvent,61,1012,2012,2
TypeScript,WatchEvent,264,1497,2013,3
VimL,IssuesEvent,343,3312,2012,2
HaXe,WatchEvent,211,2444,2012,2
Lua,ForkEvent,1174,2918,2013,4
ActionScript,IssuesEvent,206,1449,2013,4
DOT,PushEvent,198,3597,2013,3
Scala,ForkEvent,1504,4986,2013,3
Lasso,PushEvent,140,1481,2013,2
Tcl,PushEvent,176,1611,2012,3
Common Lisp,ForkEvent,202,932,2012,2
Julia,PushEvent,540,5620,2013,3
Puppet,WatchEvent,855,2263,2013,2
Vala,IssuesEvent,34,290,2013,4
